Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00892!!!M00909	GC_00000952, GC_00002196, GC_00002672, GC_00002809, GC_00003887	0.9091	KEGG_Module	No	0
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	0	1	1	NA	M00608	GC_00000677	1	KEGG_Module	No	0
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	1	1	NA	M00049	GC_00000083, GC_00000291	1	KEGG_Module	No	0
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis IMP => GDP,GTP!!!Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP!!!Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	1	1	NA	M00049!!!M00050!!!M00052!!!M00053	GC_00000519	1	KEGG_Module	No	0
ADP-L-glycero-D-manno-heptose biosynthesis	0	1	1	NA	M00064	GC_00000304, GC_00000914	1	KEGG_Module	No	0
Arginine biosynthesis, ornithine => arginine!!!Urea cycle	0	1	1	NA	M00844!!!M00029	GC_00001063, GC_00001494	1	KEGG_Module	No	0
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0	1	1	NA	M00129	GC_00000358	1	KEGG_Module	No	0
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	0	1	1	NA	M00114	GC_00000701	1	KEGG_Module	No	0
beta-Oxidation!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA	0	1	1	NA	M00087!!!M00036	GC_00000233, GC_00000482, GC_00000922, GC_00001136, GC_00002129, GC_00002529	1	KEGG_Module	No	0
beta-Oxidation!!!Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0	1	1	NA	M00087!!!M00878	GC_00000180, GC_00001254, GC_00002708	1	KEGG_Module	No	0
C10-C20 isoprenoid biosynthesis, bacteria!!!C10-C20 isoprenoid biosynthesis, archaea!!!Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	0	1	1	NA	M00364!!!M00365!!!M00921	GC_00000473	1	KEGG_Module	No	0
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	0	1	1	NA	M00849	GC_00000526, GC_00000535, GC_00000757, GC_00000884, GC_00000958, GC_00003865	1	KEGG_Module	No	0
