Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
thymidine kinase [EC:2.7.1.21]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K00857	GC_00001074	0.8182	KOfam	No	0
MFS transporter, SP family, arabinose:H+ symporter	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02100	GC_00000043	0.8182	KOfam	No	0
proliferating cell nuclear antigen	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K04802	GC_00001044	0.8182	KOfam	No	0
2-methylcitrate dehydratase [EC:4.2.1.79]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01720	GC_00000644	0.8182	KOfam	No	0
Fe-S cluster assembly protein SufB	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K09014	GC_00001113	0.8182	KOfam	No	0
translation initiation factor 6	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03264	GC_00001103	0.8182	KOfam	No	0
large subunit ribosomal protein L12	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02869	GC_00001046	0.8182	KOfam	No	0
type I pantothenate kinase [EC:2.7.1.33]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K00867	GC_00000982, GC_00004614	0.8182	KOfam	No	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K15635	GC_00001147	0.8182	KOfam	No	0
adenosylhomocysteinase [EC:3.3.1.1]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01251	GC_00001066	0.8182	KOfam	No	0
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01591	GC_00001101	0.8182	KOfam	No	0
chorismate synthase [EC:4.2.3.5]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01736	GC_00001140	0.8182	KOfam	No	0
6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K00794	GC_00000962	0.8182	KOfam	No	0
hydroxyacylglutathione hydrolase [EC:3.1.2.6]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01069	GC_00001366, GC_00001812	0.8182	KOfam	No	0
translation initiation factor 5A	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03263	GC_00001076	0.8182	KOfam	No	0
large subunit ribosomal protein L11	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02867	GC_00001090	0.8182	KOfam	No	0
elongation factor 1-alpha	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03231	GC_00001052	0.8182	KOfam	No	0
3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K00074	GC_00000755	0.8182	KOfam	No	0
nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K09759	GC_00001125	0.8182	KOfam	No	0
small subunit ribosomal protein S19e	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02966	GC_00001065	0.8182	KOfam	No	0
tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07055	GC_00001456, GC_00001784, GC_00003940	0.8182	KOfam	No	0
DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03709	GC_00001304, GC_00002200	0.8182	KOfam	No	0
lysyl-tRNA synthetase, class I [EC:6.1.1.6]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K04566	GC_00000994	0.8182	KOfam	No	0
diphthine-ammonia ligase [EC:6.3.1.14]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K06927	GC_00001096	0.8182	KOfam	No	0
protein transport protein SEC61 subunit gamma and related proteins	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07342	GC_00001040	0.8182	KOfam	No	0
uroporphyrinogen decarboxylase [EC:4.1.1.37]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01599	GC_00001112	0.8182	KOfam	No	0
GntR family transcriptional regulator	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07979	GC_00000342, GC_00004739	0.8182	KOfam	No	0
agmatinase [EC:3.5.3.11]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01480	GC_00001071	0.8182	KOfam	No	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K07142	GC_00001057	0.8182	KOfam	No	0
nascent polypeptide-associated complex subunit alpha	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03626	GC_00000878	0.8182	KOfam	No	0
glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K00261	GC_00001079	0.8182	KOfam	No	0
5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K12960	GC_00000928	0.8182	KOfam	No	0
large subunit ribosomal protein L1	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02863	GC_00001067	0.8182	KOfam	No	0
large subunit ribosomal protein L31e	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02910	GC_00001069	0.8182	KOfam	No	0
2-phosphosulfolactate phosphatase [EC:3.1.3.71]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K05979	GC_00001045	0.8182	KOfam	No	0
5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K04719	GC_00001020	0.8182	KOfam	No	0
N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K13075	GC_00000919, GC_00001718, GC_00002195, GC_00002450	0.8182	KOfam	No	0
holliday junction resolvase Hjr [EC:3.1.22.4]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03552	GC_00001058	0.8182	KOfam	No	0
formamidase [EC:3.5.1.49]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01455	GC_00000141	0.8182	KOfam	No	0
acylpyruvate hydrolase [EC:3.7.1.5]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K16164	GC_00001118	0.8182	KOfam	No	0
asparaginyl-tRNA synthetase [EC:6.1.1.22]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01893	GC_00000947	0.8182	KOfam	No	0
large subunit ribosomal protein L10	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K02864	GC_00001072	0.8182	KOfam	No	0
dihydropyrimidinase [EC:3.5.2.2]	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K01464	GC_00001300, GC_00001343	0.8182	KOfam	No	0
transcription initiation factor TFIIB	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	K03124	GC_00000025	0.8182	KOfam	No	0
site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	0.429701343995152	0.806661888392383	1	rest	K00590	GC_00002354	0.1818	KOfam	No	0
catalase-peroxidase [EC:1.11.1.21]	0.429701343995152	0.806661888392383	1	rest	K03782	GC_00002669	0.1818	KOfam	No	0
ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]	0.429701343995152	0.806661888392383	1	rest	K02609	GC_00002709	0.1818	KOfam	No	0
CRISPR-associated protein Cst2	0.429701343995152	0.806661888392383	1	rest	K19075	GC_00002626	0.1818	KOfam	No	0
nitrogen fixation protein NifU and related proteins	0.429701343995152	0.806661888392383	1	rest	K04488	GC_00002880, GC_00003435	0.1818	KOfam	No	0
AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]	0.429701343995152	0.806661888392383	1	rest	K10778	GC_00002673	0.1818	KOfam	No	0
citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	0.429701343995152	0.806661888392383	1	rest	K01644	GC_00002743	0.1818	KOfam	No	0
CRISPR-associated protein Cas5t	0.429701343995152	0.806661888392383	1	rest	K19090	GC_00003159, GC_00004499	0.1818	KOfam	No	0
putative restriction endonuclease	0.429701343995152	0.806661888392383	1	rest	K07454	GC_00003030, GC_00004132, GC_00004446	0.1818	KOfam	No	0
DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]	0.429701343995152	0.806661888392383	1	rest	K07458	GC_00004329, GC_00004665	0.1818	KOfam	No	0
tricarballylate dehydrogenase	0.429701343995152	0.806661888392383	1	rest	K13796	GC_00002435	0.1818	KOfam	No	0
S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	0.429701343995152	0.806661888392383	1	rest	K07568	GC_00002586	0.1818	KOfam	No	0
tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]	0.429701343995152	0.806661888392383	1	rest	K04085	GC_00002781	0.1818	KOfam	No	0
4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]	0.429701343995152	0.806661888392383	1	rest	K09722	GC_00002829	0.1818	KOfam	No	0
NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	0.429701343995152	0.806661888392383	1	rest	K00335	GC_00002657	0.1818	KOfam	No	0
citrate/tricarballylate utilization protein	0.429701343995152	0.806661888392383	1	rest	K13795	GC_00002711	0.1818	KOfam	No	0
putative hydrolase of the HAD superfamily	0.429701343995152	0.806661888392383	1	rest	K07025	GC_00003017, GC_00004472	0.1818	KOfam	No	0
5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	0.429701343995152	0.806661888392383	1	rest	K07452	GC_00004642, GC_00004836	0.1818	KOfam	No	0
cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	0.429701343995152	0.806661888392383	1	rest	K11717	GC_00003171, GC_00004025	0.1818	KOfam	No	0
gentisate 1,2-dioxygenase [EC:1.13.11.4]	0.429701343995152	0.806661888392383	1	rest	K00450	GC_00002762	0.1818	KOfam	No	0
aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]	0.429701343995152	0.806661888392383	1	rest	K17910	GC_00002201	0.1818	KOfam	No	0
itaconyl-CoA hydratase [EC:4.2.1.56]	0.429701343995152	0.806661888392383	1	rest	K18290	GC_00002384	0.1818	KOfam	No	0
caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	0.429701343995152	0.806661888392383	1	rest	K00588	GC_00002615	0.1818	KOfam	No	0
tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	0.196948359189838	0.906219091256217	1	rest	K00577	GC_00004477	0.0909	KOfam	No	0
uncharacterized protein involved in oxidation of intracellular sulfur	0.196948359189838	0.906219091256217	1	rest	K06039	GC_00003279	0.0909	KOfam	No	0
alanine dehydrogenase [EC:1.4.1.1]	0.196948359189838	0.906219091256217	1	rest	K19244	GC_00004528	0.0909	KOfam	No	0
DNA sulfur modification protein DndC	0.196948359189838	0.906219091256217	1	rest	K19170	GC_00003097	0.0909	KOfam	No	0
glucose/arabinose transport system ATP-binding protein	0.196948359189838	0.906219091256217	1	rest	K10199	GC_00004559	0.0909	KOfam	No	0
beta-1,4-mannosyltransferase [EC:2.4.1.-]	0.196948359189838	0.906219091256217	1	rest	K02359	GC_00003674	0.0909	KOfam	No	0
trans-aconitate 2-methyltransferase [EC:2.1.1.144]	0.196948359189838	0.906219091256217	1	rest	K00598	GC_00002946	0.0909	KOfam	No	0
UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	0.196948359189838	0.906219091256217	1	rest	K00963	GC_00003396	0.0909	KOfam	No	0
UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0.196948359189838	0.906219091256217	1	rest	K00012	GC_00003380	0.0909	KOfam	No	0
ribonuclease J [EC:3.1.-.-]	0.196948359189838	0.906219091256217	1	rest	K12574	GC_00004428	0.0909	KOfam	No	0
N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]	0.196948359189838	0.906219091256217	1	rest	K01463	GC_00004857	0.0909	KOfam	No	0
protein AroM	0.196948359189838	0.906219091256217	1	rest	K14591	GC_00004179	0.0909	KOfam	No	0
4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	0.196948359189838	0.906219091256217	1	rest	K02510	GC_00004450	0.0909	KOfam	No	0
rhamnosyltransferase [EC:2.4.1.-]	0.196948359189838	0.906219091256217	1	rest	K12990	GC_00004019	0.0909	KOfam	No	0
anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	0.196948359189838	0.906219091256217	1	rest	K09001	GC_00003802	0.0909	KOfam	No	0
pyroglutamyl-peptidase [EC:3.4.19.3]	0.196948359189838	0.906219091256217	1	rest	K01304	GC_00002980	0.0909	KOfam	No	0
triacylglycerol lipase [EC:3.1.1.3]	0.196948359189838	0.906219091256217	1	rest	K01046	GC_00003880	0.0909	KOfam	No	0
cytosine permease	0.196948359189838	0.906219091256217	1	rest	K10974	GC_00004687	0.0909	KOfam	No	0
host factor-I protein	0.196948359189838	0.906219091256217	1	rest	K03666	GC_00003826	0.0909	KOfam	No	0
unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]	0.196948359189838	0.906219091256217	1	rest	K18581	GC_00003492	0.0909	KOfam	No	0
MFS transporter, DHA1 family, tetracycline resistance protein	0.196948359189838	0.906219091256217	1	rest	K08151	GC_00003394	0.0909	KOfam	No	0
probable blue pigment (indigoidine) exporter	0.196948359189838	0.906219091256217	1	rest	K15269	GC_00003547	0.0909	KOfam	No	0
4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	0.196948359189838	0.906219091256217	1	rest	K15777	GC_00004386	0.0909	KOfam	No	0
tellurite methyltransferase [EC:2.1.1.265]	0.196948359189838	0.906219091256217	1	rest	K16868	GC_00004349	0.0909	KOfam	No	0
isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]	0.196948359189838	0.906219091256217	1	rest	K23259	GC_00003412	0.0909	KOfam	No	0
succinate dehydrogenase / fumarate reductase, membrane anchor subunit	0.196948359189838	0.906219091256217	1	rest	K00242	GC_00003650	0.0909	KOfam	No	0
MFS transporter, YQGE family, putative transporter	0.196948359189838	0.906219091256217	1	rest	K08222	GC_00004565	0.0909	KOfam	No	0
gluconate/galactonate dehydratase [EC:4.2.1.140]	0.196948359189838	0.906219091256217	1	rest	K05308	GC_00003187	0.0909	KOfam	No	0
4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	0.196948359189838	0.906219091256217	1	rest	K10218	GC_00004755	0.0909	KOfam	No	0
fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	0.196948359189838	0.906219091256217	1	rest	K00245	GC_00003016	0.0909	KOfam	No	0
sugar fermentation stimulation protein A	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K06206	GC_00000949	0.9091	KOfam	No	0
LAO/AO transport system kinase [EC:2.7.-.-]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07588	GC_00000848	0.9091	KOfam	No	0
DNA polymerase (family X)	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02347	GC_00000093	0.9091	KOfam	No	0
exosome complex component CSL4	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07573	GC_00000999	0.9091	KOfam	No	0
tRNA-5-methyluridine54 2-sulfurtransferase [EC:2.8.1.15]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K21947	GC_00001028	0.9091	KOfam	No	0
succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01439	GC_00001003, GC_00002412	0.9091	KOfam	No	0
NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00330	GC_00000863	0.9091	KOfam	No	0
tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03151	GC_00000659	0.9091	KOfam	No	0
nicotinamide-nucleotide amidase [EC:3.5.1.42]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03742	GC_00000734	0.9091	KOfam	No	0
serine protease Do [EC:3.4.21.107]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K04771	GC_00000972, GC_00004912	0.9091	KOfam	No	0
MFS transporter, MHS family, proline/betaine transporter	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03762	GC_00000048	0.9091	KOfam	No	0
tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K06173	GC_00000964	0.9091	KOfam	No	0
thioredoxin reductase (NADPH) [EC:1.8.1.9]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00384	GC_00000562	0.9091	KOfam	No	0
phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01923	GC_00000916	0.9091	KOfam	No	0
acetyl-CoA synthetase [EC:6.2.1.1]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01895	GC_00000011, GC_00001943, GC_00002892	0.9091	KOfam	No	0
NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00337	GC_00000880	0.9091	KOfam	No	0
transitional endoplasmic reticulum ATPase	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K13525	GC_00000803	0.9091	KOfam	No	0
small subunit ribosomal protein S17e	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02962	GC_00000788	0.9091	KOfam	No	0
heme o synthase [EC:2.5.1.141]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02257	GC_00001027, GC_00001130	0.9091	KOfam	No	0
glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03330	GC_00000145	0.9091	KOfam	No	0
riboflavin kinase, archaea type [EC:2.7.1.161]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07732	GC_00000956	0.9091	KOfam	No	0
DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03056	GC_00000456	0.9091	KOfam	No	0
tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K15429	GC_00000638	0.9091	KOfam	No	0
pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00286	GC_00000971	0.9091	KOfam	No	0
phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K17104	GC_00000584	0.9091	KOfam	No	0
DeoR family transcriptional regulator, suf operon transcriptional repressor	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K09012	GC_00000897, GC_00001165	0.9091	KOfam	No	0
tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07446	GC_00000653	0.9091	KOfam	No	0
CDGSH iron-sulfur domain-containing protein 3	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K23886	GC_00000923	0.9091	KOfam	No	0
small subunit ribosomal protein S27e	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02978	GC_00000835	0.9091	KOfam	No	0
7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K18779	GC_00000447	0.9091	KOfam	No	0
Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03718	GC_00000313, GC_00002259	0.9091	KOfam	No	0
rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K14568	GC_00000589	0.9091	KOfam	No	0
threonine-phosphate decarboxylase [EC:4.1.1.81]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K04720	GC_00001005	0.9091	KOfam	No	0
histidinol dehydrogenase [EC:1.1.1.23]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00013	GC_00000932	0.9091	KOfam	No	0
RIO kinase 1 [EC:2.7.11.1]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07178	GC_00000523	0.9091	KOfam	No	0
L-lactate dehydrogenase complex protein LldG	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00782	GC_00000934	0.9091	KOfam	No	0
methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01849	GC_00000876	0.9091	KOfam	No	0
phosphoribosylamine---glycine ligase [EC:6.3.4.13]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01945	GC_00000844	0.9091	KOfam	No	0
putative methylase	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07579	GC_00000959	0.9091	KOfam	No	0
glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00820	GC_00000952, GC_00002196, GC_00002672, GC_00002809, GC_00003887	0.9091	KOfam	No	0
FdhD protein	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02379	GC_00000104	0.9091	KOfam	No	0
L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07566	GC_00000665	0.9091	KOfam	No	0
isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00253	GC_00000482	0.9091	KOfam	No	0
uroporphyrinogen-III synthase [EC:4.2.1.75]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01719	GC_00001421, GC_00001991, GC_00003760	0.9091	KOfam	No	0
protease IV [EC:3.4.21.-]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K04773	GC_00001013	0.9091	KOfam	No	0
F420H2 dehydrogenase subunit M [EC:1.5.98.3]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K22168	GC_00000480	0.9091	KOfam	No	0
endonuclease III related protein	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K07457	GC_00000989	0.9091	KOfam	No	0
phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K23269	GC_00000998	0.9091	KOfam	No	0
cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02224	GC_00000834	0.9091	KOfam	No	0
translation initiation factor 2 subunit 3	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03242	GC_00000895	0.9091	KOfam	No	0
DNA repair protein RadA	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K04483	GC_00000805	0.9091	KOfam	No	0
DNA repair protein SbcC/Rad50	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03546	GC_00001363, GC_00001892, GC_00004648	0.9091	KOfam	No	0
replicative DNA helicase Mcm [EC:3.6.4.-]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K10726	GC_00000908	0.9091	KOfam	No	0
peptide chain release factor subunit 1	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03265	GC_00000823	0.9091	KOfam	No	0
dCTP deaminase [EC:3.5.4.13]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01494	GC_00001033	0.9091	KOfam	No	0
glutamine synthetase [EC:6.3.1.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01915	GC_00000064	0.9091	KOfam	No	0
bisphosphomevalonate decarboxylase [EC:4.1.1.110]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K22813	GC_00000757, GC_00003865	0.9091	KOfam	No	0
NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00343	GC_00000493	0.9091	KOfam	No	0
ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00948	GC_00000310	0.9091	KOfam	No	0
antitoxin PrlF	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K19156	GC_00001341, GC_00001587, GC_00001760, GC_00001931, GC_00001982, GC_00002267, GC_00004298	0.9091	KOfam	No	0
imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02501	GC_00001024	0.9091	KOfam	No	0
deoxyhypusine synthase [EC:2.5.1.46]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K00809	GC_00000322	0.9091	KOfam	No	0
phytol kinase [EC:2.7.1.182]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K18678	GC_00001025	0.9091	KOfam	No	0
D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03271	GC_00000914	0.9091	KOfam	No	0
cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03637	GC_00000733	0.9091	KOfam	No	0
KEOPS complex subunit Pcc1	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K09741	GC_00000576	0.9091	KOfam	No	0
V/A-type H+/Na+-transporting ATPase subunit D	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K02120	GC_00000859	0.9091	KOfam	No	0
glutamyl-tRNA synthetase [EC:6.1.1.17]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K01885	GC_00000948	0.9091	KOfam	No	0
methylisocitrate lyase [EC:4.1.3.30]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03417	GC_00000785	0.9091	KOfam	No	0
chromate reductase, NAD(P)H dehydrogenase (quinone)	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K19784	GC_00000924	0.9091	KOfam	No	0
DNA repair protein SbcD/Mre11	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K03547	GC_00000773	0.9091	KOfam	No	0
H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	K11131	GC_00000807	0.9091	KOfam	No	0
