KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
Cytochrome bd ubiquinol oxidase	0	1	1	NA	M00153	GC_00000020, GC_00000699, GC_00001088	1	1	1	1	11	1
Ethylmalonyl pathway!!!Hydroxypropionate-hydroxybutylate cycle!!!Dicarboxylate-hydroxybutyrate cycle!!!Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone!!!C5 isoprenoid biosynthesis, mevalonate pathway!!!C5 isoprenoid biosynthesis, mevalonate pathway, archaea	0	1	1	NA	M00373!!!M00375!!!M00374!!!M00088!!!M00095!!!M00849	GC_00000090, GC_00000774, GC_00001000, GC_00001317	1	1	1	1	11	1
Fatty acid biosynthesis, elongation!!!Fatty acid biosynthesis in mitochondria, fungi!!!Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0	1	1	NA	M00083!!!M00874!!!M00572	GC_00000037, GC_00000258, GC_00000892, GC_00001212, GC_00002434, GC_00002522, GC_00002784	1	1	1	1	11	1
Formaldehyde assimilation, serine pathway	0	1	1	NA	M00346	GC_00000732	1	1	1	1	11	1
GABA (gamma-Aminobutyrate) shunt	0	1	1	NA	M00027	GC_00000047, GC_00000136	1	1	1	1	11	1
GABA biosynthesis, eukaryotes, putrescine => GABA	0	1	1	NA	M00135	GC_00000729	1	1	1	1	11	1
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	0	1	1	NA	M00632	GC_00000237, GC_00000661, GC_00001720, GC_00002400, GC_00002831, GC_00003877	1	1	1	1	11	1
Gluconeogenesis, oxaloacetate => fructose-6P	0	1	1	NA	M00003	GC_00000387, GC_00001544	1	1	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	1	1	NA	M00001!!!M00002!!!M00049!!!M00050	GC_00000222	1	1	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P	0	1	1	NA	M00001!!!M00002!!!M00003	GC_00000346, GC_00001147	1	1	1	1	11	1
