contig	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
c_000000000787	0.13130434782608696	18.225217391304348	0
c_000000000793	2.655085103390069	6.396820931213954	0
c_000000000803	1.51	6.782777777777778	0
c_000000000828	13.71124031007752	0	0
c_000000000840	14.029385171790235	0	0
c_000000000848	12.789400921658986	0	0
c_000000000849	0	5.614589316484778	0
c_000000000876	1554.625488663018	2186.691053278231	310.58125767899026
c_000000000889	7.566469719350074	204.6702363367799	0
c_000000000897	13.332768361581921	0	0
c_000000000900	0.5271163196608901	6.607280887669867	0
c_000000000957	1.051371862230006	8.395213076474022	0
c_000000000977	0.6009327115256495	8.190539640239841	0
c_000000000980	1299.4069883783575	1496.7918109751404	0
c_000000000992	6.75299043062201	236.0616028708134	0
c_000000001009	11.800582241630277	0.31368267831149926	0
c_000000001048	16.05758848230354	389.8128374325135	0
c_000000001078	48.23409412239952	1707.695011108867	0
c_000000001120	90.92684694478416	59.66861439507179	0
c_000000001134	9.339737108190091	0	0
c_000000001141	6.962536023054755	0	0
c_000000001150	3.032939189189189	2.295608108108108	0
c_000000001168	3.1298940580377708	8.110548134500231	0
c_000000001189	12.842838196286472	430.9104774535809	0
c_000000001193	103.33667883211679	16.74726277372263	0
c_000000001200	2.0459734649799444	5.469299598889232	0
c_000000001209	4.286728176011356	9.181689141234918	0
c_000000001213	1.0648584905660377	5.241155660377358	0
c_000000001220	2.3350515463917527	17.341678939617083	0
c_000000001231	7.2896244430299175	0	0
c_000000001237	6.134711332858161	1.7106200997861725	0
c_000000001240	12.767489711934155	0	0
c_000000001242	7.641008174386921	0	0
c_000000001246	13.267942583732058	0.20642515379357484	0
c_000000001254	0.3746898263027295	6.057071960297767	0
c_000000001264	12.336271186440678	0	0
c_000000001269	3.440410199556541	6.141629711751663	0
c_000000001287	10.106204583566239	37.94633873672443	0
c_000000001298	7.363636363636363	0	0
c_000000001308	1.1387487386478305	20.95005045408678	0
c_000000001315	1047.389519650655	1304.5519650655021	0
c_000000001350	14.427343078245915	0	0
c_000000001356	0.9448236632536974	4.294084186575654	0
c_000000001363	155.75455207574655	87.55207574654042	0
c_000000001399	11.39448966812774	0	0
c_000000001400	14.149499284692418	490.37839771101574	0
c_000000001414	8.23366606170599	0	0
c_000000001442	2.783211678832117	13.740389294403894	0
c_000000001463	4.680391297999708	10.720105124835742	0
c_000000001470	20.866512345679013	12.591820987654321	0
c_000000001479	12.652	453.277	0
c_000000001543	7.384007029876977	0	0
c_000000001596	1.6824521072796934	8.942068965517242	0
c_000000001614	1.7938161940553468	22.04629313290058	0.05124701059104886
c_000000001642	2.1129437465865646	52.25723648279629	0
c_000000001655	309.81715425531917	371.90093085106383	0
c_000000001675	16.14666666666667	0	0
c_000000001688	0.5590292060880296	10.549568078979844	0
c_000000001694	19.898765432098767	0	0
c_000000001695	12.36457699330493	0.3676202069385271	0.36518563603164944
c_000000001698	9.136842105263158	0	0
c_000000001702	3.4095210782907945	30.053627760252365	0
c_000000001704	2.9223300970873787	210.34618585298196	0
c_000000001712	16.00538091192297	0.17105635797224583	0
c_000000001717	4.233103935062643	14.536615493206282	0
c_000000001755	1.8345353675450762	20.328710124826628	0
c_000000001770	913.4234372814991	984.7301076772479	0
c_000000001774	10.373751451800233	23.06794425087108	0
c_000000001794	326.3974255832663	205.05470635559132	0
c_000000001811	0.21915820029027577	15.923802612481857	0
c_000000001816	10.869246861924687	0	0
c_000000001820	0.3081632653061224	5.676020408163265	0
c_000000001823	13.959486833220797	381.56988521269415	0
c_000000001830	4.372687918142463	25.874458874458874	0
c_000000001843	10.240216736905479	0	0
